gene,protein,reaction,model
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS14225+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS14225+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS07455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS13165,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS15890,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS07455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS13165,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS17245,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS07455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS13165,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS18685,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS07455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS13165,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS18690,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS14225+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS14225+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS07455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS14225+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS14225,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS14225+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS14225+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS14225+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS18250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS14225+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS07455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS15890,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS18250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS15890+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS07455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS17245,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS18250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS07455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS18250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS18685,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18685,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS07455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS18250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS18690,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS07455+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250+ABAYE_RS18690,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS10550,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS12385,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS13165,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS10550,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS12385,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS18250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS10550,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS13165,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS17245,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS10550,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS17245,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS18250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS10550+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS11580,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS12385,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS13165,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS11580,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS12385,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS18250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS11580,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS13165,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS17245,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS11580,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS17245,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS18250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11580+ABAYE_RS15425+ABAYE_RS17245+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11650+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06455,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11650+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS11650,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11650+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS12385,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11650+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS13165,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11650+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS15425,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11650+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS17250,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11650+ABAYE_RS12385+ABAYE_RS13165+ABAYE_RS15425+ABAYE_RS17250,R_HEPEDECACID,iCN718
G_ABAYE_RS06170,P_ABAYE_RS06170+ABAYE_RS06455+ABAYE_RS11650+ABAYE_RS12385+ABAYE_RS15425+ABAYE_RS17250+ABAYE_RS18250,R_HEPEDECACID,iCN718
